#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-11-16T15:22:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ582c79556c5c 
#INFO -out.max=unlimited 
#INFO queryParameters=15 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/131/2766/table5
#-nav=cat:J/AJ/131/2766&tab:{J/AJ/131/2766/table5}&key:source=J/AJ/131/2766/table5&HTTPPRM:&&-ref=VIZ582c79556c5c&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=z&-out=imag&-out=iMAG&-out=Cor&-ignore=SDSS=*&SDSS=SDSS&NED=NED&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/131/2766/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/2766/table5
#-order=I
#-out=z
#-out=imag
#-out=iMAG
#-out=Cor
#

#RESOURCE=yCat_51312766
#Name: J/AJ/131/2766
#Title: Quasar luminosity function from SDSS-DR3 (Richards+, 2006)
#Table J_AJ_131_2766_table5:
#Name: J/AJ/131/2766/table5
#Title: Statistical quasar sample
#---Details of Columns:
#     z          (F6.3)  Redshift [ucd=src.redshift]
#     imag (mag) (F5.2)  Dereddened i band magnitude [ucd=phot.mag;em.opt.I]
#     iMAG (mag) (F6.2)  Absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     Cor        (F5.2)  [0,1] Selection function value [ucd=meta.note]
# ------ ----- ------ -----
#        imag  iMAG        
# z      (mag) (mag)  Cor  
# ------ ----- ------ -----
 1.291 19.09 -25.56  0.95
 1.328 18.58 -26.13  0.95
 1.824 18.30 -27.12  0.95
 1.389 17.65 -27.16  0.95
 3.112 19.17 -27.63  0.77
 0.614 18.86 -24.14  0.94
 1.877 19.08 -26.42  0.95
 2.397 19.05 -27.19  0.68
 0.534 18.85 -23.81  0.95
 0.681 18.13 -25.17  0.94
 0.873 18.07 -25.83  0.95
 0.593 18.95 -23.96  0.95
 1.742 18.98 -26.34  0.95
 1.871 17.32 -28.17  0.95
 1.781 18.10 -27.26  0.95
 1.215 18.46 -26.05  0.95
 2.212 18.82 -27.19  0.93
 0.863 18.35 -25.53  0.95
 3.176 18.58 -28.27  0.95
 0.861 18.89 -24.98  0.95
 3.007 20.12 -26.60  0.35
 1.863 18.82 -26.66  0.95
 1.503 18.66 -26.28  0.95
 4.661 19.83 -27.84  0.94
 2.104 18.77 -27.09  0.94
 1.317 19.08 -25.61  0.95
 1.052 18.94 -25.31  0.95
 1.959 18.12 -27.53  0.95
 1.265 18.99 -25.61  0.95
 1.688 18.38 -26.85  0.95
 2.054 17.74 -28.05  0.95
 1.108 18.74 -25.60  0.95
 0.392 18.10 -23.90  0.95
 0.862 18.00 -25.88  0.95
 0.952 18.75 -25.32  0.95
 0.815 18.00 -25.76  0.95
 0.433 18.14 -24.03  0.95
 1.274 18.98 -25.64  0.95
 1.559 19.01 -26.02  0.95
 1.016 18.04 -26.14  0.95
 0.726 18.81 -24.68  0.94
 0.723 18.68 -24.80  0.94
 0.298 17.91 -23.49  0.95
 1.700 18.76 -26.49  0.95
 2.041 18.79 -26.98  0.95
 0.582 18.35 -24.52  0.95
 1.456 19.03 -25.86  0.95
 1.398 18.75 -26.07  0.95
 0.935 18.92 -25.13  0.95
 2.040 17.93 -27.84  0.95
 0.535 19.09 -23.57  0.95
 1.609 18.47 -26.64  0.95
 1.942 18.60 -27.02  0.95
 0.381 18.61 -23.33  0.95
 4.086 18.63 -28.80  0.94
 0.804 18.80 -24.93  0.95
 2.909 19.48 -27.15  0.17
 1.514 18.89 -26.06  0.95
 1.542 18.13 -26.87  0.95
 1.414 19.06 -25.79  0.95
 3.043 19.42 -27.32  0.51
 1.249 18.70 -25.87  0.95
 0.545 17.73 -24.97  0.95
 1.298 19.00 -25.66  0.95
 2.975 19.29 -27.40  0.34
 1.615 19.02 -26.09  0.95
 0.200 17.30 -22.86  0.95
 1.484 18.27 -26.65  0.95
 1.444 18.62 -26.26  0.95
 2.353 18.18 -28.01  0.76
 1.083 19.08 -25.22  0.95
 1.618 17.90 -27.22  0.95
 1.929 18.80 -26.80  0.95
 1.842 18.72 -26.74  0.95
 2.457 19.02 -27.28  0.66
 3.171 19.52 -27.32  0.75
 1.768 18.81 -26.54  0.95
 0.663 19.06 -24.16  0.90
 0.444 17.28 -24.94  0.95
 3.866 20.12 -27.17  0.86
 1.601 17.98 -27.12  0.95
 1.334 18.72 -26.00  0.95
 1.845 19.00 -26.45  0.95
 1.714 18.62 -26.65  0.95
 0.721 19.05 -24.42  0.94
 1.749 18.07 -27.25  0.95
 1.544 17.81 -27.19  0.95
 1.224 18.57 -25.96  0.95
 0.852 18.76 -25.09  0.95
 1.320 18.70 -26.00  0.95
 3.962 20.09 -27.27  0.92
 2.569 18.24 -28.17  0.59
 0.551 18.72 -24.01  0.95
 1.533 18.95 -26.04  0.95
 1.631 18.33 -26.81  0.95
 1.311 19.05 -25.64  0.95
 1.572 18.51 -26.53  0.95
 2.119 18.87 -27.01  0.95
 2.150 18.53 -27.39  0.95
 1.963 17.91 -27.75  0.95
 0.566 18.44 -24.37  0.95
 3.133 20.06 -26.75  0.62
 1.492 18.83 -26.09  0.95
 1.847 18.31 -27.15  0.95
 2.261 18.97 -27.10  0.85
 0.805 17.39 -26.33  0.95
 0.958 19.03 -25.06  0.95
 0.699 17.95 -25.44  0.95
 0.899 17.62 -26.35  0.95
 1.841 18.67 -26.78  0.95
 1.198 18.70 -25.78  0.95
 0.533 18.92 -23.73  0.95
 0.908 18.63 -25.36  0.95
 2.744 18.99 -27.51  0.95
 1.320 18.33 -26.37  0.95
 0.255 17.67 -23.25  0.95
 1.746 18.85 -26.47  0.95
 3.119 19.47 -27.33  0.74
 1.538 18.50 -26.49  0.95
 4.028 19.12 -28.27  0.94
 0.228 16.56 -23.93  0.95
 1.300 18.75 -25.91  0.95
 0.954 18.00 -26.08  0.95
 1.867 18.49 -27.00  0.95
 2.291 18.43 -27.69  0.88
 0.618 17.35 -25.66  0.95
 1.437 18.70 -26.17  0.95
 1.508 18.81 -26.14  0.95
 1.460 19.03 -25.87  0.95
 0.295 18.21 -23.18  0.95
 1.582 18.84 -26.22  0.95
 1.534 18.97 -26.02  0.95
 0.445 19.09 -23.13  0.95
 1.726 17.89 -27.40  0.95
 0.749 19.05 -24.52  0.94
 0.911 17.45 -26.55  0.95
 2.064 18.51 -27.29  0.95
 1.319 18.95 -25.75  0.95
 2.805 18.98 -27.56  0.15
 1.379 18.67 -26.12  0.95
 2.155 17.95 -27.98  0.94
 1.587 18.12 -26.95  0.95
 1.015 18.86 -25.32  0.95
 0.663 17.68 -25.53  0.94
 1.629 17.51 -27.63  0.95
 0.760 17.91 -25.70  0.95
 1.900 18.78 -26.76  0.95
 0.652 18.83 -24.33  0.93
 1.056 18.39 -25.86  0.95
 0.738 18.75 -24.78  0.94
 2.402 19.10 -27.14  0.67
 0.872 18.95 -24.94  0.95
 2.182 19.05 -26.92  0.94
 3.450 19.05 -27.98  0.73
 4.268 19.50 -28.07  0.95
 0.566 18.70 -24.11  0.95
 2.437 18.26 -28.02  0.74
 3.012 19.55 -27.18  0.49
 2.220 18.66 -27.36  0.95
 4.511 19.56 -28.17  0.95
 1.762 18.83 -26.51  0.95
 3.278 19.25 -27.68  0.85
 0.915 19.00 -25.00  0.95
 2.992 18.68 -28.03  0.56
 1.088 18.87 -25.43  0.95
 1.245 18.31 -26.25  0.95
 1.480 17.71 -27.20  0.95
 4.227 18.84 -28.69  0.95
 1.506 18.81 -26.14  0.95
 0.791 18.41 -25.28  0.95
 2.399 18.90 -27.33  0.70
 2.066 18.50 -27.31  0.95
 1.929 18.09 -27.50  0.95
 1.202 18.92 -25.57  0.95
 0.320 18.33 -23.24  0.95
 1.840 17.55 -27.90  0.95
 2.181 18.99 -26.98  0.95
 1.067 18.56 -25.71  0.95
 1.780 19.06 -26.30  0.95
 1.806 18.98 -26.42  0.95
 3.741 19.97 -27.22  0.89
 0.444 19.04 -23.18  0.95
 3.042 19.65 -27.10  0.46
 1.830 18.34 -27.09  0.95
 1.278 18.23 -26.40  0.95
 2.080 19.06 -26.76  0.95
 2.053 18.65 -27.14  0.95
 0.924 18.88 -25.15  0.95
 0.846 18.62 -25.22  0.95
 3.148 17.45 -29.37  0.84
 4.218 20.06 -27.47  0.94
 0.990 18.56 -25.58  0.95
 1.259 18.92 -25.68  0.95
 1.533 18.93 -26.05  0.95
 1.132 18.89 -25.49  0.95
 2.577 18.92 -27.48  0.54
 1.172 18.53 -25.91  0.95
 1.608 18.94 -26.17  0.95
 0.449 18.75 -23.50  0.95
 1.021 19.07 -25.13  0.95
 2.117 18.31 -27.57  0.95
 0.429 19.05 -23.11  0.95
 0.986 18.95 -25.19  0.95
 0.744 18.80 -24.75  0.94
 3.676 19.42 -27.72  0.84
 0.342 18.00 -23.72  0.95
 3.754 19.36 -27.84  0.94
 0.283 17.95 -23.32  0.95
 1.584 18.74 -26.33  0.95
 1.727 18.47 -26.82  0.95
 0.958 18.62 -25.47  0.95
 1.906 18.90 -26.65  0.95
 1.247 18.07 -26.50  0.95
 1.132 17.33 -27.04  0.95
 3.411 20.05 -26.97  0.57
 1.348 18.47 -26.27  0.95
 0.567 18.99 -23.83  0.95
 0.715 17.27 -26.18  0.95
 1.114 19.01 -25.34  0.95
 4.288 19.42 -28.18  0.95
 1.251 18.81 -25.77  0.95
 1.088 18.88 -25.42  0.95
 2.199 18.28 -27.71  0.94
 1.902 18.78 -26.76  0.95
 1.670 18.76 -26.45  0.95
 1.938 18.65 -26.96  0.95
 0.796 18.72 -24.98  0.95
 0.574 18.96 -23.88  0.95
 0.808 18.84 -24.90  0.95
 0.853 18.87 -24.98  0.95
 0.816 19.08 -24.68  0.95
 2.403 18.43 -27.82  0.73
 3.554 18.49 -28.57  0.79
 1.139 18.91 -25.48  0.95
 1.541 18.75 -26.24  0.95
 1.615 18.36 -26.75  0.95
 0.298 17.96 -23.44  0.95
 1.347 18.83 -25.92  0.95
 0.956 18.92 -25.16  0.95
 1.918 17.78 -27.79  0.95
 1.117 18.55 -25.80  0.95
 2.936 20.11 -26.54  0.13
 0.528 18.95 -23.67  0.95
 2.249 18.90 -27.16  0.93
 1.882 18.16 -27.36  0.95
 1.617 17.82 -27.30  0.95
 2.121 18.60 -27.29  0.95
 1.050 18.72 -25.52  0.95
 0.986 18.62 -25.52  0.95
 1.420 18.77 -26.09  0.95
 1.887 18.34 -27.18  0.95
 1.459 18.94 -25.95  0.95
 0.345 18.49 -23.24  0.95
 0.428 18.09 -24.06  0.95
 2.334 18.99 -27.18  0.77
 1.882 18.57 -26.94  0.95
 0.674 18.90 -24.37  0.94
 2.936 20.13 -26.53  0.13
 3.813 18.96 -28.29  0.94
 3.138 19.51 -27.31  0.73
 1.540 19.91 -25.08  0.00
 2.157 18.96 -26.97  0.94
 1.573 17.89 -27.15  0.95
 0.800 18.57 -25.15  0.95
 1.491 18.80 -26.12  0.95
 1.767 18.62 -26.73  0.95
 0.591 18.76 -24.15  0.95
 0.678 18.73 -24.55  0.93
 0.490 18.53 -23.92  0.95
 2.361 18.90 -27.29  0.70
 0.416 18.44 -23.66  0.95
 1.751 18.48 -26.84  0.95
 1.574 19.08 -25.97  0.95
 0.588 19.01 -23.88  0.95
 0.735 19.01 -24.51  0.94
 1.922 17.84 -27.75  0.95
 0.568 18.13 -24.69  0.95
 0.696 19.02 -24.35  0.90
 3.288 18.42 -28.51  0.88
 2.330 18.91 -27.25  0.77
 1.933 17.53 -28.07  0.95
 3.132 20.01 -26.81  0.62
 3.172 20.18 -26.66  0.64
 2.591 18.88 -27.53  0.55
 1.905 18.94 -26.61  0.95
 2.011 18.89 -26.83  0.95
 1.236 18.52 -26.03  0.95
 2.082 19.10 -26.73  0.95
 1.312 17.84 -26.84  0.95
 1.516 19.00 -25.96  0.95
 3.618 19.61 -27.48  0.69
 0.753 18.71 -24.87  0.95
 2.236 18.19 -27.85  0.93
 1.276 18.57 -26.05  0.95
 3.303 19.99 -26.95  0.64
 0.659 18.01 -25.19  0.93
 0.520 18.16 -24.44  0.95
 0.415 18.57 -23.53  0.95
 1.845 18.52 -26.94  0.95
 1.034 18.72 -25.50  0.95
 0.510 18.95 -23.60  0.95
 2.077 18.56 -27.26  0.95
 1.877 18.74 -26.76  0.95
 1.055 18.97 -25.28  0.95
 3.976 19.24 -28.12  0.94
 1.671 18.82 -26.39  0.95
 1.666 18.25 -26.95  0.95
 1.811 18.61 -26.80  0.95
 0.645 18.58 -24.54  0.95
 1.551 18.23 -26.78  0.95
 3.824 19.86 -27.40  0.93
 1.494 19.05 -25.88  0.95
 1.060 18.78 -25.48  0.95
 1.359 18.66 -26.11  0.95
 0.754 18.71 -24.87  0.95
 4.558 19.92 -27.80  0.95
 2.390 18.88 -27.34  0.71
 1.342 18.70 -26.03  0.95
 1.124 18.41 -25.96  0.95
 2.989 20.10 -26.61  0.28
 2.539 18.32 -28.06  0.95
 0.810 18.82 -24.93  0.95
 1.509 18.68 -26.27  0.95
 1.075 18.49 -25.79  0.95
 1.215 18.20 -26.32  0.95
 1.037 17.85 -26.37  0.95
 1.829 18.81 -26.62  0.95
 3.158 19.13 -27.70  0.80
 0.418 18.85 -23.27  0.95
 1.176 18.57 -25.88  0.95
 2.680 17.94 -28.52  0.95
 0.441 18.80 -23.41  0.95
 3.060 19.83 -26.93  0.61
 0.637 17.87 -25.22  0.95
 0.565 18.54 -24.27  0.95
 1.493 18.39 -26.54  0.95
 2.189 18.58 -27.39  0.94
 0.582 17.36 -25.51  0.95
 1.618 17.59 -27.53  0.95
 0.307 17.87 -23.61  0.95
 0.536 19.10 -23.57  0.00
 1.612 18.74 -26.38  0.95
 1.429 18.57 -26.29  0.95
 0.454 18.66 -23.61  0.95
 1.462 18.52 -26.38  0.95
 0.866 18.80 -25.08  0.95
 1.371 18.89 -25.90  0.95
 2.181 19.00 -26.97  0.95
 1.507 18.51 -26.44  0.95
 2.321 17.98 -28.17  0.83
 1.599 18.34 -26.75  0.95
 3.453 19.12 -27.91  0.64
 1.932 18.57 -27.03  0.95
 3.074 19.21 -27.56  0.70
 3.091 17.58 -29.20  0.80
 1.250 18.81 -25.77  0.95
 3.260 20.18 -26.73  0.72
 1.685 17.61 -27.62  0.95
 2.577 17.79 -28.62  0.61
 3.087 18.43 -28.35  0.79
 0.873 17.89 -26.01  0.95
 1.787 18.98 -26.39  0.95
 0.425 19.05 -23.09  0.95
 0.313 18.36 -23.16  0.95
 1.084 18.12 -26.18  0.95
 4.314 20.02 -27.59  0.95
 0.840 18.65 -25.17  0.95
 0.758 18.98 -24.62  0.95
 0.313 18.37 -23.15  0.95
 0.309 18.10 -23.39  0.95
 1.890 19.08 -26.44  0.95
 1.522 18.81 -26.16  0.95
 1.844 18.69 -26.77  0.95
 0.646 18.94 -24.19  0.94
 1.900 18.96 -26.58  0.95
 3.345 19.85 -27.14  0.73
 2.442 18.38 -27.91  0.73
 1.774 16.81 -28.55  0.95
 2.307 18.98 -27.15  0.77
 0.242 16.96 -23.74  0.95
 1.711 18.80 -26.47  0.95
 2.197 19.09 -26.89  0.94
 1.876 19.08 -26.42  0.95
 2.001 18.12 -27.59  0.95
 0.977 17.77 -26.35  0.95
 3.235 19.61 -27.28  0.77
 2.400 18.83 -27.41  0.71
 0.621 18.32 -24.70  0.95
 2.045 18.34 -27.44  0.95
 2.339 18.68 -27.49  0.80
 0.628 19.10 -23.95  0.94
 1.253 17.99 -26.60  0.95
 1.504 18.89 -26.05  0.95
 0.861 17.58 -26.29  0.95
 0.402 18.73 -23.32  0.95
 1.235 18.95 -25.60  0.95
 2.830 18.57 -27.99  0.15
 0.794 18.65 -25.05  0.95
 3.785 19.62 -27.60  0.93
 1.151 18.95 -25.45  0.95
 2.463 18.84 -27.47  0.67
 1.730 18.17 -27.12  0.95
 1.857 19.09 -26.39  0.95
 1.200 18.05 -26.44  0.95
 1.347 18.91 -25.83  0.95
 0.365 18.75 -23.12  0.95
 1.148 18.26 -26.14  0.95
 2.332 18.66 -27.50  0.80
 1.093 18.17 -26.14  0.95
 1.643 18.90 -26.26  0.95
 1.489 18.60 -26.32  0.95
 1.257 18.98 -25.60  0.95
 2.208 18.54 -27.47  0.95
 2.424 18.21 -28.06  0.74
 1.037 18.75 -25.47  0.95
 2.070 18.97 -26.84  0.95
 1.680 18.02 -27.20  0.95
 3.651 19.86 -27.27  0.80
 1.194 19.09 -25.39  0.95
 0.954 17.80 -26.29  0.95
 1.159 18.82 -25.59  0.95
 1.486 17.59 -27.33  0.95
 1.987 18.87 -26.82  0.95
 2.042 17.01 -28.77  0.95
 0.828 17.45 -26.34  0.95
 1.896 18.65 -26.89  0.95
 1.872 18.77 -26.73  0.95
 1.691 18.31 -26.93  0.95
 1.486 18.16 -26.76  0.95
 1.608 18.75 -26.36  0.95
 3.634 19.11 -28.00  0.80
 2.434 18.10 -28.18  0.74
 2.135 18.93 -26.98  0.95
 1.679 19.00 -26.22  0.95
 1.292 18.61 -26.04  0.95
 0.740 19.10 -24.44  0.94
 0.272 18.07 -23.09  0.95
 0.444 18.87 -23.35  0.95
 0.414 18.63 -23.47  0.95
 1.168 17.91 -26.53  0.95
 3.575 19.15 -27.92  0.73
 0.446 18.42 -23.81  0.95
 1.829 17.36 -28.07  0.95
 1.280 18.90 -25.73  0.95
 0.956 17.69 -26.39  0.95
 0.926 18.96 -25.07  0.95
 1.693 18.92 -26.32  0.95
 1.103 18.08 -26.24  0.95
 1.456 18.98 -25.91  0.95
 0.553 18.44 -24.31  0.95
 2.050 18.91 -26.88  0.95
 0.637 17.17 -25.92  0.95
 2.094 18.48 -27.36  0.95
 0.423 18.82 -23.31  0.95
 1.036 19.02 -25.20  0.95
 0.437 18.90 -23.29  0.95
 2.042 18.97 -26.80  0.95
 1.370 18.12 -26.66  0.95
 1.013 19.10 -25.08  0.95
 3.064 20.20 -26.57  0.52
 0.909 18.68 -25.31  0.95
 1.475 18.20 -26.71  0.95
 0.524 19.00 -23.62  0.95
 2.940 19.92 -26.74  0.15
 1.677 18.98 -26.23  0.95
 0.853 18.95 -24.90  0.95
 0.681 18.91 -24.39  0.94
 1.075 18.41 -25.87  0.95
 1.503 18.72 -26.22  0.95
 2.966 19.05 -27.63  0.54
 2.865 18.75 -27.83  0.95
 1.056 18.75 -25.50  0.95
 1.140 18.60 -25.79  0.95
 1.777 18.88 -26.48  0.95
 0.882 18.17 -25.75  0.95
 2.122 17.13 -28.76  0.95
 1.050 19.09 -25.15  0.95
 1.552 19.07 -25.95  0.95
 0.300 18.31 -23.11  0.95
 2.788 18.97 -27.55  0.06
 3.221 20.16 -26.72  0.69
 1.005 18.98 -25.19  0.95
 1.739 19.07 -26.24  0.95
 0.682 18.65 -24.65  0.95
 1.085 18.69 -25.61  0.95
 3.273 19.90 -27.01  0.79
 3.649 19.93 -27.19  0.63
 1.143 18.24 -26.16  0.95
 3.012 19.63 -27.09  0.46
 2.141 18.53 -27.38  0.95
 1.881 18.12 -27.39  0.95
 0.981 18.90 -25.23  0.95
 1.337 18.05 -26.68  0.95
 2.567 19.03 -27.37  0.55
 0.977 17.56 -26.56  0.95
 0.985 18.75 -25.39  0.95
 1.754 17.93 -27.40  0.95
 1.866 17.98 -27.50  0.95
 1.720 18.45 -26.84  0.95
 2.004 18.45 -27.27  0.95
 3.142 18.91 -27.91  0.80
 0.945 19.06 -25.01  0.95
 1.160 17.93 -26.49  0.95
 1.938 19.07 -26.54  0.95
 1.495 18.05 -26.89  0.95
 1.501 17.73 -27.20  0.95
 0.974 19.04 -25.08  0.95
 1.460 18.07 -26.83  0.95
 2.214 18.12 -27.89  0.93
 1.274 19.05 -25.57  0.95
 1.937 18.83 -26.78  0.95
 1.841 18.97 -26.48  0.95
 1.710 18.34 -26.93  0.95
 1.030 18.04 -26.17  0.95
 1.461 18.28 -26.62  0.95
 1.731 18.42 -26.88  0.95
 1.570 17.07 -27.97  0.95
 1.748 18.21 -27.11  0.95
 0.420 18.73 -23.39  0.95
 0.480 18.93 -23.48  0.95
 2.343 18.99 -27.19  0.77
 0.865 18.54 -25.34  0.95
 1.679 18.94 -26.28  0.95
 0.946 18.13 -25.94  0.95
 0.776 18.42 -25.23  0.95
 2.057 16.99 -28.80  0.95
 0.709 17.85 -25.57  0.94
 1.407 18.48 -26.36  0.95
 0.612 18.90 -24.08  0.94
 1.072 18.58 -25.70  0.95
 3.069 20.04 -26.73  0.56
 3.140 18.54 -28.28  0.83
 1.457 19.07 -25.82  0.95
 2.440 18.99 -27.29  0.67
 1.582 18.86 -26.21  0.95
 2.422 18.55 -27.71  0.72
 1.340 18.74 -25.99  0.95
 0.565 18.47 -24.34  0.95
 2.417 19.08 -27.18  0.67
 1.085 18.50 -25.79  0.95
 3.640 19.36 -27.75  0.76
 2.067 18.73 -27.08  0.95
 1.140 18.78 -25.61  0.95
 1.411 18.67 -26.17  0.95
 0.802 18.15 -25.57  0.95
 0.831 19.09 -24.71  0.95
 4.694 19.77 -27.88  0.95
 0.741 18.53 -25.02  0.95
 0.960 18.39 -25.70  0.95
 0.857 19.06 -24.80  0.95
 3.850 20.17 -27.11  0.86
 0.638 18.03 -25.07  0.95
 3.677 19.32 -27.82  0.85
 0.933 19.05 -24.99  0.95
 0.814 18.29 -25.47  0.95
 0.891 17.26 -26.68  0.95
 0.860 18.99 -24.88  0.95
 1.704 18.65 -26.61  0.95
 2.825 18.83 -27.72  0.14
 1.468 18.52 -26.39  0.95
 1.204 18.66 -25.84  0.95
 1.696 18.78 -26.46  0.95
 1.212 18.12 -26.38  0.95
 0.593 18.43 -24.49  0.95
 3.007 19.87 -26.85  0.44
 1.691 19.04 -26.19  0.95
 1.500 18.70 -26.24  0.95
 1.580 20.06 -25.00  0.00
 1.357 18.38 -26.37  0.95
 0.928 18.86 -25.17  0.95
 0.598 18.18 -24.75  0.95
 0.949 16.66 -27.41  0.95
 1.734 18.83 -26.47  0.95
 1.481 19.10 -25.82  0.95
 1.550 18.28 -26.73  0.95
 0.839 18.53 -25.29  0.95
 1.967 19.10 -26.56  0.00
 1.219 18.85 -25.67  0.95
 1.872 18.90 -26.59  0.95
 1.133 18.99 -25.39  0.95
 1.417 18.87 -25.98  0.95
 2.159 18.42 -27.52  0.94
 1.347 18.77 -25.97  0.95
 1.232 18.25 -26.30  0.95
 2.269 18.73 -27.36  0.86
 1.268 18.49 -26.11  0.95
 3.235 19.55 -27.33  0.78
 1.797 19.05 -26.33  0.95
 1.733 17.99 -27.31  0.95
 1.854 18.86 -26.61  0.95
 1.075 18.29 -25.99  0.95
 0.826 17.82 -25.97  0.95
 3.443 19.19 -27.84  0.67
 3.517 19.89 -27.15  0.50
 1.888 18.78 -26.74  0.95
 1.684 18.44 -26.79  0.95
 0.971 18.96 -25.15  0.95
 2.822 18.20 -28.36  0.16
 2.964 19.31 -27.37  0.34
 1.815 18.88 -26.54  0.95
 1.202 18.00 -26.49  0.95
 1.205 18.66 -25.84  0.95
 1.001 19.06 -25.10  0.95
 1.270 17.95 -26.66  0.95
 2.300 19.04 -27.08  0.78
 1.758 18.68 -26.65  0.95
 3.790 20.00 -27.23  0.92
 2.027 19.04 -26.72  0.95
 1.233 17.92 -26.63  0.95
 1.778 17.67 -27.69  0.95
 2.421 19.01 -27.25  0.67
 1.778 17.11 -28.25  0.95
 1.738 17.93 -27.38  0.95
 3.760 19.91 -27.29  0.92
 0.466 19.03 -23.30  0.95
 3.998 20.01 -27.36  0.92
 1.643 17.71 -27.45  0.95
 1.953 18.38 -27.25  0.95
 2.043 18.49 -27.28  0.95
 1.834 18.74 -26.70  0.95
 2.318 18.69 -27.46  0.80
 2.610 18.34 -28.09  0.95
 4.142 20.10 -27.37  0.92
 3.744 18.97 -28.23  0.94
 1.772 18.90 -26.45  0.95
 1.891 18.14 -27.39  0.95
 1.540 19.00 -25.99  0.95
 0.597 18.85 -24.07  0.95
 1.755 18.91 -26.42  0.95
 1.105 19.06 -25.28  0.95
 4.736 19.20 -28.45  0.95
 1.554 18.56 -26.46  0.95
 0.735 18.54 -24.99  0.95
 1.581 19.04 -26.02  0.95
 1.551 19.06 -25.95  0.95
 0.439 17.82 -24.38  0.95
 0.635 19.08 -24.00  0.94
 1.259 18.61 -25.99  0.95
 1.449 18.77 -26.12  0.95
 1.050 18.41 -25.84  0.95
 3.180 18.86 -27.99  0.95
 1.049 18.86 -25.38  0.95
 1.267 18.20 -26.41  0.95
 1.438 17.91 -26.97  0.95
 0.369 18.07 -23.82  0.95
 1.861 18.03 -27.45  0.95
 2.369 18.85 -27.35  0.95
 0.345 17.77 -23.97  0.95
 1.373 17.98 -26.81  0.95
 0.836 19.06 -24.75  0.95
 1.346 17.95 -26.79  0.95
 0.171 16.96 -22.82  0.95
 1.728 18.79 -26.51  0.95
 1.490 18.82 -26.10  0.95
 0.991 18.85 -25.30  0.95
 2.025 17.45 -28.30  0.95
 1.235 18.96 -25.59  0.95
 1.903 18.10 -27.45  0.95
 1.559 18.75 -26.28  0.95
 3.252 20.08 -26.82  0.75
 0.591 17.86 -25.05  0.95
 1.821 18.69 -26.73  0.95
 4.422 20.11 -27.60  0.95
 1.237 18.52 -26.03  0.95
 2.207 19.05 -26.96  0.92
 1.402 17.82 -27.01  0.95
 3.610 20.19 -26.90  0.56
 1.800 18.94 -26.45  0.95
 2.961 18.61 -28.07  0.56
 0.454 18.53 -23.75  0.95
 1.839 18.93 -26.52  0.95
 0.887 18.71 -25.23  0.95
 1.663 18.87 -26.33  0.95
 2.185 18.62 -27.35  0.95
 1.094 19.00 -25.31  0.95
 2.140 18.66 -27.25  0.95
 1.416 19.08 -25.77  0.95
 0.984 18.39 -25.75  0.95
 1.847 18.72 -26.74  0.95
 1.147 19.05 -25.34  0.95
 3.083 20.16 -26.62  0.52
 2.038 19.01 -26.76  0.95
 1.755 18.72 -26.61  0.95
 1.985 18.62 -27.07  0.95
 1.775 18.16 -27.19  0.95
 0.429 18.88 -23.28  0.95
 1.127 20.19 -24.18  0.00
 0.495 18.52 -23.95  0.95
 1.797 18.83 -26.56  0.95
 2.154 19.00 -26.93  0.93
 1.742 18.73 -26.58  0.95
 2.264 18.94 -27.14  0.85
 1.713 18.00 -27.28  0.95
 1.172 18.04 -26.40  0.95
 1.710 18.40 -26.87  0.95
 1.245 17.90 -26.67  0.95
 1.026 18.43 -25.78  0.95
 1.610 18.47 -26.64  0.95
 3.133 18.66 -28.16  0.83
 1.715 18.80 -26.47  0.95
 2.209 17.99 -28.02  0.95
 0.555 18.02 -24.74  0.95
 3.827 19.66 -27.60  0.94
 3.862 19.64 -27.65  0.88
 0.703 18.73 -24.67  0.94
 1.876 16.80 -28.70  0.95
 2.123 18.25 -27.64  0.95
 2.582 18.07 -28.34  0.60
 1.786 19.01 -26.36  0.95
 0.343 18.50 -23.22  0.95
 1.623 18.51 -26.62  0.95
 0.766 18.75 -24.87  0.95
 1.042 18.55 -25.68  0.95
 0.545 18.71 -24.00  0.95
 1.335 17.89 -26.83  0.95
 1.748 18.35 -26.97  0.95
 0.551 19.08 -23.66  0.95
 0.495 18.91 -23.56  0.95
 1.303 18.85 -25.82  0.95
 1.072 17.68 -26.60  0.95
 0.611 18.98 -24.00  0.94
 1.726 18.03 -27.26  0.95
 1.958 19.00 -26.65  0.95
 3.088 19.57 -27.21  0.65
 0.607 18.61 -24.35  0.95
